Quarter, Cars,All Cars,LE vehicles,Greenhouse gas emissions from road transport,CO2 emmision: Cars,CO2 emmision:  LGV/HGV,ULEV Car ownership first time registered: Cars,ULEV Car ownership first time registered: Light good vehicles,ULEV Car ownership first time registered: Heavy goods vehicles excluding buses and coaches,Available Charging devices
1994 Q1,..,,,,,,,,,
1994 Q2,21034.10 ,,,,,,,,,
1994 Q3,21244.00 ,,,,,,,,,
1994 Q4,21199.20 ,,,114,,,,,,
1995 Q1,21230.70 ,,,,,,,,,
1995 Q2,21458.30 ,,,,,,,,,
1995 Q3,21460.00 ,,,,,,,,,
1995 Q4,21394.10 ,,,113,,,,,,
1996 Q1,..,,,,,,,,,
1996 Q2,22007.40 ,,,,,,,,,
1996 Q3,22227.40 ,,,,,,,,,
1996 Q4,22237.50 ,,,117,,,,,,
1997 Q1,22298.30 ,,,,,,,,,
1997 Q2,22526.30 ,,,,,,,,,
1997 Q3,22808.80 ,,,,,,,,,
1997 Q4,22831.70 ,,,119,,,,,,
1998 Q1,22984.30 ,,,,,,,,,
1998 Q2,23207.60 ,,,,,,,,,
1998 Q3,23427.80 ,,,,,,,,,
1998 Q4,23293.30 ,,,119,,,,,,
1999 Q1,23458.50 ,,,,,,,,,
1999 Q2,23725.80 ,,,,,,,,,
1999 Q3,..,,,,,,,,,
1999 Q4,23974.90 ,,,120,,,,,,
2000 Q1,24167.00 ,,,,,,,,,
2000 Q2,24278.60 ,,,,,,,,,
2000 Q3,24383.30 ,,,,,,,,,
2000 Q4,24405.50 ,,,119,,,,,,
2001 Q1,24653.80 ,,,,,,,,,
2001 Q2,24683.00 ,,,,,,,,,
2001 Q3,24979.50 ,,,,,,,,,
2001 Q4,25125.90 ,,,118,,,,,,
2002 Q1,25390.50 ,,,,,,,,,
2002 Q2,25485.80 ,,,,,,,,,
2002 Q3,25709.60 ,,,,,,,,,
2002 Q4,25781.90 ,,,121,,,,,,
2003 Q1,26007.80 ,,,,,,,,,
2003 Q2,26157.50 ,,,,,,,,,
2003 Q3,26388.00 ,,,,,,,,,
2003 Q4,26240.40 ,,,120,,,,,,
2004 Q1,26817.70 ,,,,,,,,,
2004 Q2,26939.60 ,,,,,,,,,
2004 Q3,27138.60 ,,,,,,,,,
2004 Q4,27028.10 ,,,121,,,,,,
2005 Q1,27348.60 ,,,,,,,,,
2005 Q2,27456.80 ,,,,,,,,,
2005 Q3,27549.00 ,,,,,,,,,
2005 Q4,27520.40 ,,,122,,,,,,
2006 Q1,27459.10 ,,,,,,,,,
2006 Q2,27587.30 ,,,,,,,,,
2006 Q3,27718.50 ,,,,,,,,,
2006 Q4,27609.20 ,,,122,,,,,,
2007 Q1,27797.80 ,,,,,,,,,
2007 Q2,27948.80 ,,,,,,,,,
2007 Q3,28091.60 ,,,,,,,,,
2007 Q4,28000.30 ,,,124,,,,,,
2008 Q1,28163.40 ,,,,,,,,,
2008 Q2,28247.00 ,,,,,,,,,
2008 Q3,28279.60 ,,,,,,,,,
2008 Q4,28160.70 ,,,120,,,,,,
2009 Q1,28261.00 ,,,,,,,,,
2009 Q2,28306.00 ,,,,,,,,,
2009 Q3,28322.60 ,,,,,,,,,
2009 Q4,28246.50 ,,,116,,,,,,
2010 Q1,28319.80 ,"1,479","8,995",,,,"1,479","3,889","1,067",
2010 Q2,28485.40 ,"1,474","9,120",,,,"1,474","3,912","1,079",
2010 Q3,28581.10 ,"1,493","8,919",,,,"1,493","3,753",977,
2010 Q4,28420.90 ,"1,566","8,992",115,,,"1,566","3,750",967,
2011 Q1,28512.90 ,"1,880","9,430",,,,"1,880","3,767",961,
2011 Q2,28576.80 ,"2,205","9,789",,,,"2,205","3,720",947,
2011 Q3,28608.10 ,"2,525","9,867",,,,"2,525","3,573",892,
2011 Q4,28467.30 ,"2,648","9,955",113,,,"2,648","3,582",885,
2012 Q1,28581.00 ,"2,959","10,271",,,,"2,959","3,607",881,
2012 Q2,28710.30 ,"3,562","10,857",,,,"3,562","3,662",843,
2012 Q3,28813.20 ,"4,226","11,316",,,,"4,226","3,630",735,
2012 Q4,28722.50 ,"4,954","12,065",113,,,"4,954","3,668",727,
2013 Q1,28842.10 ,"5,539","12,584",,,,"5,539","3,690",718,
2013 Q2,29080.20 ,"6,390","13,421",,,,"6,390","3,737",707,
2013 Q3,29206.10 ,"7,360","14,035",,,,"7,360","3,550",588,
2013 Q4,29140.90 ,"8,304","14,968",112,,,"8,304","3,571",589,
2014 Q1,29372.10 ,"9,984","16,676",,,,"9,984","3,638",581,
2014 Q2,29695.10 ,"12,180","19,047",,,,"12,180","3,846",574,
2014 Q3,29737.30 ,"16,879","23,759",,123.6,180.3,"16,879","3,899",520,
2014 Q4,29611.50 ,"21,980","28,900",114,123,179.4,"21,980","4,033",510,
2015 Q1,29766.40 ,"29,835","36,852",,122.3,177,"29,835","4,191",490,"2,664"
2015 Q2,30030.20 ,"35,254","42,391",,122.1,179.6,"35,254","4,347",457,"2,910"
2015 Q3,30234.00 ,"41,212","48,493",,120.5,180.3,"41,212","4,468",428,"3,248"
2015 Q4,30250.30 ,"47,630","55,060",115,120.5,180,"47,630","4,629",422,"3,672"
2016 Q1,30461.10 ,"58,358","66,047",,119.8,177.7,"58,358","4,788",429,"3,916"
2016 Q2,30689.30 ,"66,893","74,828",,120.4,176.8,"66,893","5,036",421,"4,413"
2016 Q3,30870.80 ,"76,947","85,100",,120.2,173,"76,947","5,278",415,"4,725"
2016 Q4,30850.40 ,"85,180","93,590",118,120.8,168,"85,180","5,436",415,"5,111"
