Year,Average_CO2,Petrol,Diesel,Total_Vehicles,UK_Population,Petrol_Fraction,Total_GHGs,Low_Emission_Total,LE_Fraction,New_Petrol,New_Diesel,New_Total,All_Electric
1994,0,19620898,1576196,21199203,57943000,0.925548852,113648.313,0,0,0,0,0,100
1995,0,19499763,1891271,21394103,58095000,0.91145504,112645.659,0,0,0,0,0,100
1996,0,20051602,2181634,22237538,58239000,0.901700629,116737.339,0,0,0,0,0,100
1997,0,20384711,2440508,22831698,58395000,0.89282501,118065.436,0,0,0,0,0,100
1998,0,20590535,2692904,23293332,58580000,0.883966922,117250.796,0,0,0,0,0,200
1999,0,21031016,2929873,23974937,58785000,0.877208395,118052.772,0,0,0,0,0,200
2000,0,21232434,3152708,24405549,59000000,0.869983871,117137.278,0,0,0,0,0,400
2001,0,21640842,3459544,25125867,59239000,0.861297324,116976.577,0,0,2122512,460646,2585982,1100
2002,0,21839242,3912371,25781931,59501000,0.847075496,119238.696,0,0,2042488,636794,2682131,1400
2003,0,21805236,4399607,26240404,59794000,0.830979432,118774.044,0,0,1914146,728256,2646056,1800
2004,0,21976371,5010581,27028099,60182000,0.813093477,119844.752,0,0,1748557,847024,2599079,3400
2005,0,21875757,5596099,27520398,60620000,0.794892465,120521.863,0,0,1543644,893663,2443455,8900
2006,0,21465566,6083316,27609171,61073000,0.777479556,120477.173,0,0,1438070,892665,2340043,17700
2007,171.139,21264179,6657383,28000264,61571000,0.759427804,121701.972,0,0,1417511,955962,2390080,33300
2008,169.548,20898866,7163504,28160702,62042000,0.74212873,116412.71,0,0,1183055,913235,2111998,48300
2009,167.564,20490930,7641419,28246470,62510000,0.725433302,112238.072,0,0,1137886,815456,1968252,62800
2010,165.239,20082860,8202683,28420877,63022000,0.706623515,110899.42,8995,0.000316493,1060877,913139,1996324,83900
2011,162.788,19548228,8763495,28467289,63495000,0.686690889,109416.749,9430,0.000331257,924507,958536,1907411,105100
2012,160.086,19158596,9385119,28722453,63905000,0.667025062,109084.573,10271,0.000357595,967689,1015948,2010825,129700
2013,157.042,18870062,10064151,29140937,64351000,0.647544792,108260.946,12584,0.000431832,1090596,1102233,2225082,160100
2014,153.894,18632429,10730906,29611489,64853000,0.629229722,109739.777,16676,0.00056316,1173681,1213729,2438340,204600
2015,150.556,18511467,11428857,30250294,65379000,0.611943375,111973.846,36852,0.001218236,1276075,1253401,2602146,269900
2016,147.252,18410232,12052146,30850440,65844000,0.596757518,114585.172,66047,0.002140877,1313345,1262521,2665251,352200
2017,144.333,18348092,12360237,31200182,66238000,0.588076441,114785.965,106345,0.003408474,1342152,1047685,2509330,460200
2018,141.928,18499594,12397636,31517597,66616000,0.586960802,113280.299,155290,0.004927089,1459764,735720,2341505,592100
2019,139.899,18818368,12286328,31888448,66996000,0.590131197,0,212326,0.006658399,1506316,604528,2295409,758300
