Year,Gross Domestic Product: quarter on quarter growth rate: CP SA %,"Unemployment rate (aged 16 and over, seasonally adjusted)",UK resident population: mid-year estimates (Qtly data interpolated),"Total Production : Sections B, C, D and E (Index):CVM","Employment rate (aged 16 - 64, seasonally adjusted)"
1955 Q1,,,50901,,
1955 Q2,0.5,,50946,,
1955 Q3,3.7,,51005,,
1955 Q4,1.8,,51065,,
1956 Q1,2.7,,51124,,
1956 Q2,1.4,,51184,,
1956 Q3,1.6,,51245,,
1956 Q4,2.5,,51307,,
1957 Q1,0.2,,51369,,
1957 Q2,1.5,,51430,,
1957 Q3,2.1,,51486,,
1957 Q4,2,,51541,,
1958 Q1,2,,51597,,
1958 Q2,-1.3,,51653,,
1958 Q3,1.7,,51728,,
1958 Q4,0.8,,51804,,
1959 Q1,0.2,,51880,,
1959 Q2,3.3,,51956,,
1959 Q3,0.4,,52060,,
1959 Q4,3.6,,52164,,
1960 Q1,1.6,,52268,,
1960 Q2,1,,52373,,
1960 Q3,1.5,,52481,,
1960 Q4,2,,52590,,
1961 Q1,2.5,,52699,,
1961 Q2,0,,52807,,
1961 Q3,3.4,,52929,,
1961 Q4,-1.1,,53050,,
1962 Q1,1.4,,53171,,
1962 Q2,2.4,,53292,,
1962 Q3,1,,53375,,
1962 Q4,0.5,,53458,,
1963 Q1,-0.7,,53542,,
1963 Q2,5.2,,53625,,
1963 Q3,1.5,,53716,,
1963 Q4,3.1,,53808,,
1964 Q1,0.4,,53899,,
1964 Q2,3.5,,53991,,
1964 Q3,2.2,,54080,,
1964 Q4,2.7,,54170,,
1965 Q1,1.9,,54260,,
1965 Q2,0.5,,54350,,
1965 Q3,2.4,,54423,,
1965 Q4,1.9,,54496,,
1966 Q1,1.5,,54569,,
1966 Q2,1.7,,54643,,
1966 Q3,1.9,,54722,,
1966 Q4,1,,54801,,
1967 Q1,1,,54880,,
1967 Q2,2.5,,54959,,
1967 Q3,0.7,,55023,,
1967 Q4,1.3,,55086,,
1968 Q1,4.5,,55150,,
1968 Q2,1.2,,55214,,
1968 Q3,3.2,,55275,,
1968 Q4,2.6,,55337,,
1969 Q1,1.7,,55399,,
1969 Q2,1.5,,55461,,
1969 Q3,2.2,,55504,,
1969 Q4,2.6,,55546,,
1970 Q1,2.7,,55589,,
1970 Q2,4.4,,55632,,
1970 Q3,3.3,,55706,,
1970 Q4,3.6,,55780,,
1971 Q1,1.5,,55854,,72.2
1971 Q2,3.4,,55928,,72
1971 Q3,3.2,4.2,55970,,71.7
1971 Q4,2.5,4.4,56012,,71.5
1972 Q1,1.2,4.5,56055,,71.8
1972 Q2,4.7,4.4,56097,,71.9
1972 Q3,2.1,4.3,56128,,72
1972 Q4,6,4.2,56160,,72.2
1973 Q1,6.5,3.9,56191,,72.8
1973 Q2,-0.9,3.7,56223,,73
1973 Q3,3.4,3.6,56226,,72.9
1973 Q4,3.7,3.4,56229,,73
1974 Q1,-0.8,3.6,56232,,72.9
1974 Q2,7.2,3.6,56236,,73
1974 Q3,5.5,3.7,56233,,73.1
1974 Q4,4.6,3.7,56231,,73.1
1975 Q1,7.3,4,56228,,72.9
1975 Q2,4.9,4.3,56226,,72.7
1975 Q3,4,4.7,56223,,72.6
1975 Q4,5.6,5,56221,,72.3
1976 Q1,5,5.3,56219,,72.1
1976 Q2,2.7,5.4,56216,,72
1976 Q3,3.7,5.5,56210,,71.9
1976 Q4,6.2,5.5,56203,,71.8
1977 Q1,3.7,5.5,56196,,71.8
1977 Q2,3.2,5.5,56190,,71.6
1977 Q3,2.8,5.7,56187,,71.6
1977 Q4,4.5,5.7,56184,,71.5
1978 Q1,4.7,5.6,56181,,71.5
