Quarter, Cars,LE: All Cars,LE vehicles,CO2 emissions (grams/kilometre) : Cars ,CO2 emissions (grams/kilometre) : LGV/HGV,ULEV: Cars,ULEV: Light good vehicles,ULEV: Heavy goods vehicles excluding buses and coaches,Available Charging devices,Gross Domestic Product: quarter on quarter growth rate: CP SA %,"Unemployment rate (aged 16 and over, seasonally adjusted)",UK resident population: mid-year estimates (Qtly data interpolated),"Total Production : Sections B, C, D and E (Index):CVM","Employment rate (aged 16 - 64, seasonally adjusted)"
2014 Q3,29737300.00,16879000.00,23759000.00,123.60,180.30,16879.00,3899,520,,1.1,6,64725,96.20,73.00
2014 Q4,29611500.00,21980000.00,28900000.00,123.00,179.40,21980.00,4033,510,,0.4,6,64853,96.00,73.20
2015 Q1,29766400.00,29835000.00,36852000.00,122.30,177.00,29835.00,4191,490,2664,0.6,6,64982,96.20,73.40
2015 Q2,30030200.00,35254000.00,42391000.00,122.10,179.60,35254.00,4347,457,2910,1.5,6,65110,97.00,73.40
2015 Q3,30234000.00,41212000.00,48493000.00,120.50,180.30,41212.00,4468,428,3248,0.2,5,65245,96.30,73.80
2015 Q4,30250300.00,47630000.00,55060000.00,120.50,180.00,47630.00,4629,422,3672,0.3,5,65379,95.70,74.10
2016 Q1,30461100.00,58358000.00,66047000.00,119.80,177.70,58358.00,4788,429,3916,1.4,5,65514,95.80,74.10
2016 Q2,30689300.00,66893000.00,74828000.00,120.40,176.80,66893.00,5036,421,4413,1.5,5,65648,98.20,74.40
2016 Q3,30870800.00,76947000.00,85100000.00,120.20,173.00,76947.00,5278,415,4725,0.7,5,65746,97.40,74.40
2016 Q4,30850400.00,85180000.00,93590000.00,120.80,168.00,85180.00,5436,415,5111,1.3,5,65844,98.00,74.60
2017 Q1,31073600.00,97565000.00,106345000.00,120.50,165.30,97565.00,5792,414,5490,1.0,5,65942,98.60,74.80
2017 Q2,31212200.00,107586000.00,116658000.00,121.30,165.50,107586.00,5982,412,5916,0.4,4,66040,98.30,75.10
2017 Q3,31339500.00,120795000.00,130224000.00,121.20,164.50,120795.00,6275,401,6454,0.7,4,66139,99.20,75.00
2017 Q4,31200200.00,132220000.00,141646000.00,122.30,166.80,132220.00,6438,384,7211,1.5,4,66238,100.10,75.20
2018 Q1,31347600.00,145212000.00,155290000.00,122.50,164.90,145212.00,6949,383,7906,0.5,4,66337,100.40,75.60
2018 Q2,31498200.00,157886000.00,168531000.00,123.60,164.60,157886.00,7158,368,8567,1.0,4,66436,100.10,75.50
2018 Q3,31601900.00,172049000.00,183443000.00,126.50,168.10,172049.00,7452,362,9565,1.2,4,66526,100.40,75.60
2018 Q4,31517600.00,185867000.00,198259000.00,127.90,171.30,185867.00,7787,361,10309,0.4,4,66616,99.10,75.80
2019 Q1,31687300.00,198827000.00,212326000.00,128.70,166.10,198827.00,8344,367,11664,1.3,4,66707,100.30,76.10
2019 Q2,31842500.00,209701000.00,224773000.00,129.70,166.60,209701.00,8973,367,13646,0.6,4,66797,98.80,76.10
2019 Q3,31976200.00,228285000.00,245139000.00,126.80,165.40,228285.00,9724,377,15116,1.1,4,66897,98.20,76.00
2019 Q4,31888400.00,250313000.00,269377000.00,125.10,164.70,250313.00,10842,373,16505,0.2,4,66996,97.90,76.50
2020 Q1,31661400.00,278918000.00,300017000.00,118.30,160.10,278918.00,12081,377,17947,-1.6,4,67096,95.70,76.30
2020 Q2,31619200.00,295243000.00,317266000.00,136.10,171.40,295243.00,12692,361,18265,-13.5,4,67196,79.90,75.80
2020 Q3,31869400.00,348506000.00,373223000.00,135.40,171.50,"348,506",14305,351,19487,13.1,5,67280,92.10,75.30
2020 Q4,,,,,,,,,,1.6,,,93.70,
