Quarter,Cars,LCV,HGV,Total,All_ULEV_cars,All_ULEV_vehicles
1994 Q1,,,,,,
1994 Q2,21034.1,,,,,
1994 Q3,21244,,,,,
1994 Q4,21199.2,2137.7,420.9,23757.76,,
1995 Q1,21230.7,,,,,
1995 Q2,21458.3,,,,,
1995 Q3,21460,,,,,
1995 Q4,21394.1,2122.8,422.9,23939.75,,
1996 Q1,,,,,,
1996 Q2,22007.4,,,,,
1996 Q3,22227.4,,,,,
1996 Q4,22237.5,2173.9,429.9,24841.32,,
1997 Q1,22298.3,,,,,
1997 Q2,22526.3,,,,,
1997 Q3,22808.8,,,,,
1997 Q4,22831.7,2231.2,436,25498.88,,
1998 Q1,22984.3,,,,,
1998 Q2,23207.6,,,,,
1998 Q3,23427.8,,,,,
1998 Q4,23293.3,2278,440.8,26012.18,,
1999 Q1,23458.5,,,,,
1999 Q2,23725.8,,,,,
1999 Q3,,,,,,
1999 Q4,23974.9,2342.2,459.2,26776.28,,
2000 Q1,24167,,,,,
2000 Q2,24278.6,,,,,
2000 Q3,24383.3,,,,,
2000 Q4,24405.5,2382.6,471.5,27259.62,,
2001 Q1,24653.8,2407.5,473.3,27534.52,,
2001 Q2,24683,2424.6,475.1,27582.65,,
2001 Q3,24979.5,2458.7,480.1,27918.33,,
2001 Q4,25125.9,2461.4,477.5,28064.73,,
2002 Q1,25390.5,2491,480.7,28362.13,,
2002 Q2,25485.8,2517.8,484.6,28488.23,,
2002 Q3,25709.6,2541.8,487.9,28739.3,,
2002 Q4,25781.9,2542.3,485.4,28809.63,,
2003 Q1,26007.8,2580.8,487.8,29076.39,,
2003 Q2,26157.5,2622.6,493.1,29273.18,,
2003 Q3,26388,2656.4,496.9,29541.35,,
2003 Q4,26240.4,2652.9,491.1,29384.44,,
2004 Q1,26817.7,2731.5,500.3,30049.49,,
2004 Q2,26939.6,2774.9,505.5,30220.03,,
2004 Q3,27138.6,2815,510,30463.66,,
2004 Q4,27028.1,2822.4,505.8,30356.32,,
2005 Q1,27348.6,2865.6,507.2,30721.45,,
2005 Q2,27456.8,2913.7,512.6,30883.03,,
2005 Q3,27549,2937.7,513.6,31000.35,,
2005 Q4,27520.4,2943.4,508.2,30971.96,,
2006 Q1,27459.1,2939.2,496,30894.26,,
2006 Q2,27587.3,2978.2,502.1,31067.59,,
2006 Q3,27718.5,3019.9,508.6,31246.99,,
2006 Q4,27609.2,3023.1,508.3,31140.52,,
2007 Q1,27797.8,3054.9,507.8,31360.52,,
2007 Q2,27948.8,3105.1,513.1,31566.88,,
2007 Q3,28091.6,3139.7,515.6,31746.93,,
2007 Q4,28000.3,3148.9,510.8,31659.99,,
2008 Q1,28163.4,3172.9,504.2,31840.55,,
2008 Q2,28247,3209.5,506.8,31963.32,,
2008 Q3,28279.6,3222.5,508.7,32010.79,,
2008 Q4,28160.7,3191.4,495.9,31848.02,,
2009 Q1,28261,3188.2,487.9,31937.18,,
2009 Q2,28306,3208.9,488.1,32003.04,,
2009 Q3,28322.6,3207.1,487.5,32017.21,,
2009 Q4,28246.5,3184.5,477.8,31908.8,,
2010 Q1,28319.8,3188.6,472.7,31981,"1,479","8,995"
2010 Q2,28485.4,3219.7,476.6,32181.68,"1,474","9,120"
2010 Q3,28581.1,3230.9,476.3,32288.32,"1,493","8,919"
2010 Q4,28420.9,3207.8,470.1,32098.8,"1,566","8,992"
2011 Q1,28512.9,3226.5,468,32207.42,"1,880","9,430"
2011 Q2,28576.8,3260.9,472.1,32309.83,"2,205","9,789"
2011 Q3,28608.1,3271.4,471.1,32350.56,"2,525","9,867"
