Date,Total  Devices,Rapid Devices
2015 Q1 ,"2,664",249
2015 Q2,"2,910",301
2015 Q3,"3,248",431
2015 Q4,"3,672",693
2016 Q1 ,"3,916",781
2016 Q2,"4,413",821
2016 Q3,"4,725",852
2016 Q4,"5,111",903
2017 Q1 ,"5,490",931
2017 Q2,"5,916",992
2017 Q3,"6,454","1,088"
2017 Q4,"7,211","1,179"
2018 Q1 ,"7,906","1,421"
2018 Q2,"8,567","1,562"
2018 Q3,"9,565","1,690"
2018 Q4,"10,309","1,872"
2019 Q1 ,"11,664","2,029"
2019 Q2,"13,646","2,219"
2019 Q3,"15,116","2,495"
2019 Q4,"16,505","2,829"
2020 Q1 ,"17,947","3,107"
2020 Q2,"18,265","3,206"
2020 Q3,"19,487","3,530"
