Year,Petrol,Diesel,Hybrid Electric,Plug-in Hybrid Electric,Battery Electric,Range-Extended Electric,Fuel Cell Electric,Gas,Other,Total
1994,19620.898,1576.196,0.000,0.000,0.093,0.000,0.000,1.788,0.228,21199.203
1995,19499.763,1891.271,0.000,0.000,0.074,0.000,0.000,2.857,0.138,21394.103
1996,20051.602,2181.634,0.000,0.000,0.094,0.000,0.000,4.085,0.123,22237.538
1997,20384.711,2440.508,0.000,0.000,0.116,0.000,0.000,6.241,0.122,22831.698
1998,20590.535,2692.904,0.000,0.000,0.151,0.000,0.000,9.632,0.110,23293.332
1999,21031.016,2929.873,0.000,0.000,0.195,0.000,0.000,13.776,0.077,23974.937
2000,21232.434,3152.708,0.182,0.000,0.221,0.000,0.000,19.963,0.041,24405.549
2001,21640.842,3459.544,0.770,0.000,0.272,0.000,0.000,24.379,0.060,25125.867
2002,21839.242,3912.371,1.094,0.000,0.326,0.000,0.003,28.834,0.061,25781.931
2003,21805.236,4399.607,1.484,0.000,0.349,0.000,0.004,33.647,0.077,26240.404
2004,21976.371,5010.581,3.037,0.000,0.399,0.000,0.006,37.613,0.092,27028.099
2005,21875.757,5596.099,8.314,0.000,0.564,0.000,0.008,39.541,0.115,27520.398
2006,21465.566,6083.316,16.907,0.000,0.807,0.000,0.008,42.403,0.164,27609.171
2007,21264.179,6657.383,32.055,0.000,1.192,0.000,0.007,45.126,0.322,28000.264
2008,20898.866,7163.504,47.036,0.000,1.325,0.000,0.008,49.594,0.369,28160.702
2009,20490.930,7641.419,61.344,0.000,1.454,0.000,0.008,50.920,0.395,28246.470
2010,20082.860,8202.683,82.059,0.313,1.545,0.000,0.008,50.950,0.459,28420.877
2011,19548.228,8763.495,102.037,0.527,2.612,0.004,0.005,49.947,0.434,28467.289
2012,19158.596,9385.119,123.959,1.097,4.068,0.518,0.011,48.666,0.419,28722.453
2013,18870.062,10064.151,151.272,1.686,6.167,0.892,0.011,46.273,0.423,29140.937
2014,18632.429,10730.906,182.381,7.871,12.111,2.157,0.016,43.213,0.405,29611.489
2015,18511.467,11428.857,221.822,23.822,20.466,3.780,0.026,39.650,0.404,30250.294
2016,18410.232,12052.146,268.542,49.096,29.081,5.505,0.034,35.421,0.383,30850.440
2017,18348.092,12360.237,332.701,78.507,41.218,7.693,0.068,31.296,0.370,31200.182
2018,18499.594,12397.636,411.686,115.531,55.335,9.541,0.104,27.827,0.343,31517.597
2019,18818.368,12286.328,513.752,144.855,89.581,9.793,0.183,25.257,0.331,31888.448
