"Net greenhouse gas emissions on a Climate Change Act basis, UK, 1990 to 2017",,
Notes,Unit:Mass of air emissions per year in million tonnes of carbon dioxide equivalent (Mt CO2e),
,2050 net zero target,Climate Change Act basis
1990,,794
1991,,803
1992,,781
1993,,762
1994,,752
1995,,746
1996,,767
1997,,740
1998,,738
1999,,708
2000,,708
2001,,710
2002,,689
2003,,696
2004,,692
2005,,684
2006,,676
2007,,663
2008,,643
2009,,587
2010,,601
2011,,553
2012,,570
2013,,556
2014,,516
2015,,498
2016,,473
2017,,460
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,
2024,,
2025,,
2026,,
2027,,
2028,,
2029,,
2030,,
2031,,
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
2039,,
2040,,
2041,,
2042,,
2043,,
2044,,
2045,,
2046,,
2047,,
2048,,
2049,,
2050,0,
