date,sector,MtCO2 per day
01/01/2019,Ground Transport,0.24037412
02/01/2019,Ground Transport,0.233257
03/01/2019,Ground Transport,0.29868103
04/01/2019,Ground Transport,0.30133247
05/01/2019,Ground Transport,0.25796515
06/01/2019,Ground Transport,0.21197561
07/01/2019,Ground Transport,0.32594816
08/01/2019,Ground Transport,0.32857565
09/01/2019,Ground Transport,0.32969298
10/01/2019,Ground Transport,0.33131871
11/01/2019,Ground Transport,0.32934659
12/01/2019,Ground Transport,0.28412867
13/01/2019,Ground Transport,0.24890887
14/01/2019,Ground Transport,0.32646831
15/01/2019,Ground Transport,0.3337464
16/01/2019,Ground Transport,0.33541818
17/01/2019,Ground Transport,0.3344848
18/01/2019,Ground Transport,0.33279397
19/01/2019,Ground Transport,0.30018912
20/01/2019,Ground Transport,0.24502031
21/01/2019,Ground Transport,0.3308373
22/01/2019,Ground Transport,0.33568651
23/01/2019,Ground Transport,0.33577452
24/01/2019,Ground Transport,0.33470534
25/01/2019,Ground Transport,0.33448041
26/01/2019,Ground Transport,0.30701993
27/01/2019,Ground Transport,0.25922704
28/01/2019,Ground Transport,0.33094883
29/01/2019,Ground Transport,0.33627746
30/01/2019,Ground Transport,0.33893588
31/01/2019,Ground Transport,0.33332806
01/02/2019,Ground Transport,0.3318686
02/02/2019,Ground Transport,0.3030577
03/02/2019,Ground Transport,0.26118417
04/02/2019,Ground Transport,0.32941938
05/02/2019,Ground Transport,0.33770487
06/02/2019,Ground Transport,0.33612415
07/02/2019,Ground Transport,0.33591839
08/02/2019,Ground Transport,0.33543797
09/02/2019,Ground Transport,0.29455572
10/02/2019,Ground Transport,0.26368886
11/02/2019,Ground Transport,0.32897238
12/02/2019,Ground Transport,0.33594494
13/02/2019,Ground Transport,0.33499451
14/02/2019,Ground Transport,0.3363292
15/02/2019,Ground Transport,0.33385228
16/02/2019,Ground Transport,0.29342561
17/02/2019,Ground Transport,0.24880717
18/02/2019,Ground Transport,0.32658342
19/02/2019,Ground Transport,0.33230757
20/02/2019,Ground Transport,0.34121013
21/02/2019,Ground Transport,0.3335751
22/02/2019,Ground Transport,0.33219585
23/02/2019,Ground Transport,0.29418225
24/02/2019,Ground Transport,0.25676
25/02/2019,Ground Transport,0.32864131
26/02/2019,Ground Transport,0.33632878
27/02/2019,Ground Transport,0.33633725
28/02/2019,Ground Transport,0.33191022
01/03/2019,Ground Transport,0.33051513
02/03/2019,Ground Transport,0.30097685
03/03/2019,Ground Transport,0.24854577
04/03/2019,Ground Transport,0.3293327
05/03/2019,Ground Transport,0.33444018
06/03/2019,Ground Transport,0.33549761
07/03/2019,Ground Transport,0.33552775
08/03/2019,Ground Transport,0.3339036
09/03/2019,Ground Transport,0.29524858
10/03/2019,Ground Transport,0.25036567
11/03/2019,Ground Transport,0.32899071
12/03/2019,Ground Transport,0.33755583
13/03/2019,Ground Transport,0.33322386
14/03/2019,Ground Transport,0.33381653
15/03/2019,Ground Transport,0.32950241
16/03/2019,Ground Transport,0.29691711
17/03/2019,Ground Transport,0.2569161
18/03/2019,Ground Transport,0.32763071
19/03/2019,Ground Transport,0.33163784
20/03/2019,Ground Transport,0.32667583
21/03/2019,Ground Transport,0.33188884
22/03/2019,Ground Transport,0.33361222
23/03/2019,Ground Transport,0.29076015
24/03/2019,Ground Transport,0.2478664
