Date,Great Britain: Reported,Great Britain: e-NEDC 3,Great Britain: WLTP 4,UK: Reported 2,UK: e-NEDC 3,UK: WLTP 4
2012 Q1,186.2,,,,,
2012 Q2,185.0,,,,,
2012 Q3,186.8,,,,,
2012 Q4,188.2,,,,,
2013 Q1,184.3,,,,,
2013 Q2,184.8,,,,,
2013 Q3,184.9,,,,,
2013 Q4,187.0,,,,,
2014 Q1,183.5,,,,,
2014 Q2,182.7,,,,,
2014 Q3,180.3,,,180.3,,
2014 Q4,179.4,,,179.4,,
2015 Q1,177.0,,,177.0,,
2015 Q2,179.6,,,179.6,,
2015 Q3,180.3,,,180.3,,
2015 Q4,180.0,,,180.0,,
2016 Q1,177.8,,,177.7,,
2016 Q2,176.8,,,176.8,,
2016 Q3,173.0,,,173.0,,
2016 Q4,168.0,,,168.0,,
2017 Q1,165.3,,,165.3,,
2017 Q2,165.4,,,165.5,,
2017 Q3,164.5,,,164.5,,
2017 Q4,166.9,,,166.8,,
2018 Q1,164.9,,,164.9,,
2018 Q2,164.6,,,164.6,,
2018 Q3,168.2,,,168.1,,
2018 Q4,171.3,,,171.3,,
2019 Q1,166.2,,,166.1,,
2019 Q2,166.6,,,166.6,,
2019 Q3,165.5,,,165.4,,
2019 Q4,164.6,160.4,200.3,164.7,160.5,200.4
2020 Q1,160.0,156.8,199.6,160.1,156.8,199.6
2020 Q2,171.4,167.5,205.0,171.4,167.5,205.0
2020 Q3,171.5,166.6,204.0,171.5,166.6,204.1
