Year,Petrol,Diesel,All_EV,New_Total,UK_Population,Petrol_Fraction,EV_Fraction,Total_GHGs,traffic
1994,19620898,1576196,93,21197187,57943000,0.925636878,0,113648.313,261.9
1995,19499763,1891271,74,21391108,58095000,0.911582654,0,112645.659,267
1996,20051602,2181634,94,22233330,58239000,0.90187129,0,116737.339,274.1
1997,20384711,2440508,116,22825335,58395000,0.893073902,0,118065.436,279.8
1998,20590535,2692904,151,23283590,58580000,0.88433678,0,117250.796,284.9
1999,21031016,2929873,195,23961084,58785000,0.877715549,0,118052.772,290.2
2000,21232434,3152708,403,24385545,59000000,0.870697538,0,117137.278,289.7
2001,21640842,3459544,1042,25101428,59239000,0.862135891,0,116976.577,293.7
2002,21839242,3912371,1423,25753036,59501000,0.848025918,0.0001,119238.696,300.6
2003,21805236,4399607,1837,26206680,59794000,0.832048775,0.0001,118774.044,302.4
2004,21976371,5010581,3442,26990394,60182000,0.814229351,0.0001,119844.752,306.9
2005,21875757,5596099,8886,27480742,60620000,0.796039532,0.0003,120521.863,306.9
2006,21465566,6083316,17722,27566604,61073000,0.778680101,0.0006,120477.173,311.4
2007,21264179,6657383,33254,27954816,61571000,0.760662456,0.0012,121701.972,314.1
2008,20898866,7163504,48369,28110739,62042000,0.743447762,0.0017,116412.71,311
2009,20490930,7641419,62806,28195155,62510000,0.726753586,0.0022,112238.072,308.1
2010,20082860,8202683,83925,28369468,63022000,0.707904004,0.003,110899.42,305.8
2011,19548228,8763495,105185,28416908,63495000,0.68790834,0.0037,109416.749,308.2
2012,19158596,9385119,129653,28673368,63905000,0.668166921,0.0045,109084.573,309
2013,18870062,10064151,160028,29094241,64351000,0.648584096,0.0055,108260.946,311.9
2014,18632429,10730906,204536,29567871,64853000,0.630157951,0.0069,109739.777,322.2
2015,18511467,11428857,269916,30210240,65379000,0.612754715,0.0089,111973.846,329.6
2016,18410232,12052146,352258,30814636,65844000,0.5974509,0.0114,114585.172,338.2
2017,18348092,12360237,460187,31168516,66238000,0.588673904,0.0148,114785.965,345.2
2018,18499594,12397636,592197,31489427,66616000,0.587485889,0.0188,113280.299,349.5
2019,18818368,12286328,758164,31862860,66996000,0.590605112,0.0238,,356.5
